Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks,True if unique block heights are the same between the two lists
kassemhodroj.near,2024-03-21,"115172309,115172368,115172379,115172429,115172443,115172454,115172474,115172482,115172502,115172585,115172598,115172609,115172663,115172695","115172309,115172368,115172379,115172429,115172443,115172454,115172474,115172482,115172502,115172585,115172598,115172609,115172663,115172695",True
liberatedmuskrat8063341571.u.arkana.near,2024-03-21,115158400,115158400,True
lingeringhandler5054278145.u.arkana.near,2024-03-21,115151965,115151965,True
jxnis.near,2024-03-21,115174621,115174621,True
limpcriminal1549338282.u.arkana.near,2024-03-21,115176378,115176378,True
lighttrestle100453000.u.arkana.near,2024-03-21,115165903,115165903,True
listedabsentee6923359271.u.arkana.near,2024-03-21,115166736,115166736,True
loathshark2726321772.u.arkana.near,2024-03-21,115165330,115165330,True
long-timeshank3228353245.u.arkana.near,2024-03-21,115169215,115169215,True
losingnotation716535660.u.arkana.near,2024-03-21,115179112,115179112,True
luxurydishtowel4902164115.u.arkana.near,2024-03-21,115179313,115179313,True
low-keyjock503886138.u.arkana.near,2024-03-21,115167161,115167161,True
luminousadversary2439287228.u.arkana.near,2024-03-21,115177390,115177390,True
marvellousdwarf1240258908.u.arkana.near,2024-03-21,115150781,115150781,True
manifoldportal8334310147.u.arkana.near,2024-03-21,115165971,115165971,True
machine-gundoorkeeper20414082.u.arkana.near,2024-03-21,115182184,115182184,True
massiveinspection838992459.u.arkana.near,2024-03-21,115165431,115165431,True
merryclassic6146283200.u.arkana.near,2024-03-21,115182460,115182460,True
middleoutboard3940177920.u.arkana.near,2024-03-21,115184514,115184514,True
migratorydemonstrator4118329077.u.arkana.near,2024-03-21,115156155,115156155,True
military-industrialbedstead463940707.u.arkana.near,2024-03-21,115154435,115154435,True
missingember8926132983.u.arkana.near,2024-03-21,115158553,115158553,True
misguidednursery2092321879.u.arkana.near,2024-03-21,115151919,115151919,True
mindfultibia7488359289.u.arkana.near,2024-03-21,115167384,115167384,True
mockfailure6468322144.u.arkana.near,2024-03-21,115179772,115179772,True
motivatedflash1368332899.u.arkana.near,2024-03-21,115161193,115161193,True
moonlitmodifier6546343014.u.arkana.near,2024-03-21,115162823,115162823,True
mukeshkaraka.near,2024-03-21,"115137233,115137340","115137233,115137340",True
murderouscompliment1222333993.u.arkana.near,2024-03-21,115184426,115184426,True
muscularcollaborator2510357038.u.arkana.near,2024-03-21,115177227,115177227,True
mukhammadkhabiburrokhman.near,2024-03-21,115170967,115170967,True
neardifference6265297146.u.arkana.near,2024-03-21,115152085,115152085,True
monogamoussport7101359845.u.arkana.near,2024-03-21,115177723,115177723,True
normalprincipal378039145.u.arkana.near,2024-03-21,"115157341,115183328","115157341,115183328",True
oldstreetcar8606339572.u.arkana.near,2024-03-21,115153487,115153487,True
northerngrace853978529.u.arkana.near,2024-03-21,115151226,115151226,True
nutritiouscreel1870274145.u.arkana.near,2024-03-21,115177300,115177300,True
noticeableyellow540920548.u.arkana.near,2024-03-21,"115154866,115164288","115154866,115164288",True
opposingmime1722194919.u.arkana.near,2024-03-21,115166489,115166489,True
ostentatiousphony520161723.u.arkana.near,2024-03-21,115174964,115174964,True
optimumdarling5337181766.u.arkana.near,2024-03-21,115153687,115153687,True
outwardgravestone7837124697.u.arkana.near,2024-03-21,115170809,115170809,True
panickyrevisionist6642326890.u.arkana.near,2024-03-21,115181412,115181412,True
payingtugboat5740262402.u.arkana.near,2024-03-21,"115154698,115154757","115154698,115154757",True
penetratingbeefsteak478286923.u.arkana.near,2024-03-21,115163515,115163515,True
perceivedstove3462336619.u.arkana.near,2024-03-21,115151483,115151483,True
perplexingpuppeteer6782340565.u.arkana.near,2024-03-21,115170869,115170869,True
