Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks
far-reachingstationmaster6845328312.u.arkana.near,2024-03-21,115167308,115167308
farfetchedfrenzy1874311901.u.arkana.near,2024-03-21,115177886,115177886
familiarpriest5981258816.u.arkana.near,2024-03-21,115175294,115175294
familialsit7505121952.u.arkana.near,2024-03-21,115175417,115175417
fatefulproductivity781868927.u.arkana.near,2024-03-21,115159930,115159930
fascisttepee7902289464.u.arkana.near,2024-03-21,"115155451,115155632","115155451,115155632"
fashionabledugout676785816.u.arkana.near,2024-03-21,"115161662,115162923","115161662,115162923"
fay.mintbase.near,2024-03-21,115153055,115153055
feeblephosphor5290175459.u.arkana.near,2024-03-21,115160774,115160774
fetidsimplification6951287959.u.arkana.near,2024-03-21,"115157006,115162440","115157006,115162440"
fattyjudgment6861359779.u.arkana.near,2024-03-21,115176483,115176483
feudalblizzard1878319381.u.arkana.near,2024-03-21,115157852,115157852
filthysetup7158309082.u.arkana.near,2024-03-21,115168055,115168055
fictitiousvinegar6469345743.u.arkana.near,2024-03-21,115155226,115155226
firmparameter5851104492.u.arkana.near,2024-03-21,115174729,115174729
flamboyantbiopsy3650201901.u.arkana.near,2024-03-21,115182695,115182695
flabbydrawback7746286819.u.arkana.near,2024-03-21,115151590,115151590
fledglingground1264256954.u.arkana.near,2024-03-21,115155526,115155526
flexiblefrond774846631.u.arkana.near,2024-03-21,115163595,115163595
fledglingmeter241421951.u.arkana.near,2024-03-21,115164845,115164845
follow-upchaise175744295.u.arkana.near,2024-03-21,115155909,115155909
follow-upposterior728638208.u.arkana.near,2024-03-21,"115167976,115168300","115167976,115168300"
followingabbreviation5407135480.u.arkana.near,2024-03-21,115161266,115161266
four-year-oldhypochondriac5014335893.u.arkana.near,2024-03-21,115155903,115155903
forestedhandlebar4030320406.u.arkana.near,2024-03-21,115167269,115167269
four-year-oldrepatriation3386342357.u.arkana.near,2024-03-21,115160071,115160071
fractureddeadpan347154530.u.arkana.near,2024-03-21,115165171,115165171
floppyveteran7273360001.u.arkana.near,2024-03-21,115182518,115182518
fourniercalixte.near,2024-03-21,"115173936,115173945,115174018,115174023,115174036","115173936,115173945,115174018,115174023,115174036"
frequentsplotch3363172070.u.arkana.near,2024-03-21,115174905,115174905
